"album"|"album_url"
"Colossus"|"https://is5-ssl.mzstatic.com/image/thumb/Music127/v4/76/94/c5/7694c5f6-8c67-dbad-5736-f9ac37c00b5d/source/512x512.jpg"
"Bloom"|"https://is5-ssl.mzstatic.com/image/thumb/Music3/v4/a6/2d/bf/a62dbf0e-8511-57a2-0398-58da1ae96624/source/512x512.jpg"
"Faith and Failure"|"https://is2-ssl.mzstatic.com/image/thumb/Music/v4/a3/df/6a/a3df6a53-be12-e586-ba00-def8dff03db4/source/512x512.jpg"
"Red Giant"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/ae/d4/42/aed442f7-d13e-77de-5c64-f95f01df70c7/source/512x512.jpg"
"Black Ocean"|"https://is4-ssl.mzstatic.com/image/thumb/Music1/v4/bf/53/13/bf531302-c17f-2f70-8600-8f447c13b1af/source/512x512.jpg"
"Avalon"|"https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/41/cc/6f/41cc6fb4-ab2e-2421-15c4-0bae9b3fdba4/source/512x512.jpg"
"Ratio"|"https://is3-ssl.mzstatic.com/image/thumb/Music113/v4/e0/1b/f7/e01bf7b3-ce1e-0e86-75d1-eacd51e5bbbf/source/512x512.jpg"
"The Human Connection"|"https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/22/da/7e/22da7e29-511e-be9b-08dd-dbbfbd7c0686/source/512x512.jpg"
"Sovereign"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/cc/3b/77/cc3b7749-2e08-d176-07a3-5f3262cfafb8/source/512x512.jpg"
"CrimsonFire"|"https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0e/0d/21/0e0d212f-6655-b004-2cf9-9ef6661a1c89/source/512x512.jpg"
"Chapter II - The Fallen"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/4f/34/cb/4f34cbce-9b95-f996-6fd7-1184f9c257e6/source/512x512.jpg"
"They Whispered You Had Risen"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/f5/5f/bc/f55fbc59-0ee0-58a5-d770-3d97dc12857b/source/512x512.jpg"
